,Question,Domain,Timestamp,PDF_Name,User_Type,Date
0,What about Fever level?,Orthopedics,2026-04-10T22:32:51.417,report_11.pdf,General User,2026-04-10
1,What about Fever level?,Endocrinology,2026-04-12T03:15:51.417,report_10.pdf,Patient,2026-04-12
2,What about Sugar level?,Cardiology,2026-04-10T11:13:51.417,report_12.pdf,General User,2026-04-10
3,What about Sugar level?,Orthopedics,2026-04-12T05:46:51.417,report_5.pdf,Patient,2026-04-12
4,What about Sugar level?,Endocrinology,2026-04-12T04:22:51.417,report_17.pdf,Patient,2026-04-12
5,What about Chest Pain level?,Cardiology,2026-04-11T09:39:51.417,report_20.pdf,Student,2026-04-11
6,What about Dizziness level?,Neurology,2026-04-11T10:10:51.417,report_15.pdf,Student,2026-04-11
7,What about Fatigue level?,Endocrinology,2026-04-12T13:03:51.417,report_19.pdf,Patient,2026-04-12
8,What about Chest Pain level?,Cardiology,2026-04-13T13:53:51.417,report_9.pdf,General User,2026-04-13
9,What about Dizziness level?,General,2026-04-11T03:59:51.417,report_14.pdf,Student,2026-04-11
10,What about Headache level?,Neurology,2026-04-12T21:18:51.417,report_17.pdf,General User,2026-04-12
11,What about Chest Pain level?,General,2026-04-12T06:25:51.417,report_9.pdf,General User,2026-04-12
12,What about BP level?,Orthopedics,2026-04-12T18:31:51.417,report_18.pdf,General User,2026-04-12
13,What about Headache level?,Cardiology,2026-04-13T01:06:51.417,report_9.pdf,General User,2026-04-13
14,What about BP level?,Cardiology,2026-04-13T12:53:51.417,report_14.pdf,Patient,2026-04-13
15,What about Dizziness level?,Neurology,2026-04-11T07:58:51.417,report_11.pdf,General User,2026-04-11
16,What about Fever level?,Endocrinology,2026-04-11T13:07:51.417,report_18.pdf,Student,2026-04-11
17,What about Chest Pain level?,Cardiology,2026-04-12T01:56:51.417,report_12.pdf,Patient,2026-04-12
18,What about Fatigue level?,Cardiology,2026-04-12T08:20:51.417,report_15.pdf,General User,2026-04-12
19,What about Fatigue level?,Endocrinology,2026-04-12T15:17:51.417,report_13.pdf,General User,2026-04-12
20,What about Headache level?,General,2026-04-12T11:36:51.417,report_6.pdf,General User,2026-04-12
21,What about Headache level?,Endocrinology,2026-04-11T08:49:51.417,report_16.pdf,General User,2026-04-11
22,What about Fever level?,Neurology,2026-04-10T05:51:51.417,report_20.pdf,Patient,2026-04-10
23,What about Fever level?,General,2026-04-10T05:27:51.417,report_14.pdf,General User,2026-04-10
24,What about Dizziness level?,Endocrinology,2026-04-10T21:54:51.417,report_10.pdf,General User,2026-04-10
25,What about Headache level?,General,2026-04-11T23:37:51.417,report_4.pdf,Patient,2026-04-11
26,What about Dizziness level?,Endocrinology,2026-04-12T09:02:51.417,report_14.pdf,Patient,2026-04-12
27,What about Chest Pain level?,Neurology,2026-04-13T07:26:51.417,report_12.pdf,Student,2026-04-13
28,What about Dizziness level?,Endocrinology,2026-04-10T22:44:51.417,report_12.pdf,General User,2026-04-10
29,What about Chest Pain level?,General,2026-04-12T04:53:51.417,report_2.pdf,Student,2026-04-12
30,What about Sugar level?,Endocrinology,2026-04-11T16:40:51.417,report_5.pdf,General User,2026-04-11
31,What about Sugar level?,Neurology,2026-04-10T11:12:51.417,report_14.pdf,Patient,2026-04-10
32,What about Fever level?,Endocrinology,2026-04-10T11:57:51.417,report_1.pdf,Patient,2026-04-10
33,What about Fever level?,Orthopedics,2026-04-13T07:44:51.417,report_6.pdf,General User,2026-04-13
34,What about Fever level?,Orthopedics,2026-04-12T21:19:51.417,report_19.pdf,General User,2026-04-12
35,What about Headache level?,Neurology,2026-04-10T11:01:51.417,report_19.pdf,Patient,2026-04-10
36,What about Chest Pain level?,Neurology,2026-04-11T12:20:51.417,report_18.pdf,Patient,2026-04-11
37,What about Dizziness level?,Endocrinology,2026-04-13T06:18:51.417,report_11.pdf,Patient,2026-04-13
38,What about Sugar level?,Endocrinology,2026-04-11T23:23:51.417,report_20.pdf,Patient,2026-04-11
39,What about Sugar level?,Endocrinology,2026-04-11T12:20:51.417,report_15.pdf,General User,2026-04-11
40,What about Dizziness level?,Neurology,2026-04-12T19:17:51.417,report_6.pdf,General User,2026-04-12
41,What about Fatigue level?,Cardiology,2026-04-13T11:27:51.417,report_16.pdf,Patient,2026-04-13
42,What about Chest Pain level?,Cardiology,2026-04-13T14:02:51.417,report_4.pdf,Patient,2026-04-13
43,What about Fever level?,Cardiology,2026-04-11T12:31:51.417,report_13.pdf,General User,2026-04-11
44,What about Dizziness level?,Orthopedics,2026-04-12T02:23:51.417,report_18.pdf,General User,2026-04-12
45,What about Fatigue level?,Neurology,2026-04-11T01:29:51.417,report_1.pdf,General User,2026-04-11
46,What about BP level?,Orthopedics,2026-04-10T05:23:51.417,report_4.pdf,General User,2026-04-10
47,What about Headache level?,Orthopedics,2026-04-12T10:27:51.417,report_20.pdf,Patient,2026-04-12
48,What about Headache level?,General,2026-04-11T06:02:51.417,report_11.pdf,General User,2026-04-11
49,What about BP level?,Cardiology,2026-04-11T23:53:51.417,report_12.pdf,Patient,2026-04-11
50,What about Dizziness level?,Endocrinology,2026-04-13T08:27:51.417,report_14.pdf,Patient,2026-04-13
51,What about Headache level?,General,2026-04-10T09:01:51.417,report_2.pdf,General User,2026-04-10
